01,date_process,id_client,id_business,id_process
02,transactional,code,description,initial_balance,debits,credits,final_balance
04,N,120575,Sector Tecnologías,2.627144708E9,0.0,0.0,2.627144708E9
04,S,12057505,Inversiones Kappi SAS,1.698144708E9,0.0,0.0,1.698144708E9
04,S,12057510,Patrimonio autónomo cámaras 2030,9.29E8,0.0,0.0,9.29E8
04,N,120595,Método de participación,-1.85010425E8,0.0,0.0,-1.85010425E8
04,S,12059505,Método de participación,-1.85010425E8,0.0,0.0,-1.85010425E8
04,N,1210,Cuotas O Partes De Interés Social,1.0E7,0.0,0.0,1.0E7
04,S,121030,En Sociedades,1.0E7,0.0,0.0,1.0E7
04,N,1225,Certificados,0.0,4.168476E9,0.0,4.168476E9
04,N,122505,Certificados de depósito a término (CDT),0.0,4.168476E9,0.0,4.168476E9
04,S,12250501,CDT N° 80130018035 PANAMÁ,0.0,1.15791E9,0.0,1.15791E9
04,S,12250502,CDT N° 80130018036 PANAMÁ,0.0,1.15791E9,0.0,1.15791E9
04,S,12250503,CDT N° 80130018037 PANAMÁ,0.0,1.852656E9,0.0,1.852656E9
04,N,13,Deudores comerciales y otras cuentas por cobrar,2.86011159438E9,2.08497316862E9,1.40622083183E9,3.53886393117E9
04,N,1305,Clientes nacionales,7.51453756E8,1.95365076393E9,1.38668565972E9,1.31841886021E9
04,N,130505,Clientes nacionales,7.51453756E8,1.95365076393E9,1.38668565972E9,1.31841886021E9
04,S,13050501,Clientes nacionales,7.67463562E8,1.95365076393E9,1.38668565972E9,1.33442866621E9
04,S,13050598,Costo Amortizado,-1.6009806E7,0.0,0.0,-1.6009806E7
04,N,1330,Anticipos y avances,1.089424456E7,4220855.01,0.0,1.511509957E7
04,N,133005,A proveedores,1.040077576E7,2260855.01,0.0,1.266163077E7
04,S,13300501,A proveedores,1.040077576E7,2260855.01,0.0,1.266163077E7
04,N,133015,A trabajadores,493468.8,1960000.0,0.0,2453468.8
04,S,13301501,Anticipos A Trabajadores,493468.8,1960000.0,0.0,2453468.8
04,N,1355,Anticipo de impuestos y contribuciones o,1.74704586802E9,1.0868784847E8,1.953517211E7,1.83619854438E9
04,N,135515,Anticipo Retención en la fuente,1.56282086802E9,8.007918128E7,1.641040075E7,1.62648964855E9
04,S,13551501,Anticipo Retención en la fuente 3 5%,-4.1979232775E8,6.215555791E7,0.0,-3.5763676984E8
04,S,13551502,Devolución Retención en la fuente 3 5%,-4411984.83,0.0,1.263701367E7,-1.70489985E7
04,S,13551503,Anticipo Retención en la fuente 4%,4.468231619E7,0.0,0.0,4.468231619E7
04,S,13551504,Devolución Retención en la fuente 4%,-360000.0,0.0,0.0,-360000.0
04,S,13551509,Anticipo Retención en la fuente 11%,8.0236681543E8,0.0,0.0,8.0236681543E8
04,S,13551510,Devolución en ventas Retefuente 11%,-4.420395159E7,0.0,0.0,-4.420395159E7
04,S,13551511,Anticipo Retención en la fuente 7%,1906163.12,2525236.29,0.0,4431399.41
04,S,13551513,Anticipo Retención en la fuente 3 5%,9.6403963285E8,0.0,0.0,9.6403963285E8
04,S,13551514,Devolución Retención en la fuente 3 5%,-1.56470754E7,0.0,0.0,-1.56470754E7
04,S,13551520,Retencion En La Fuente Ingresos facturados no pres,4.8149571E7,0.0,0.0,4.8149571E7
04,S,13551521,Retención en la fuente 2.5%,60709.0,0.0,0.0,60709.0
04,N,13551595,Otras,1.86031E8,1.539838708E7,3773387.08,1.97656E8
04,S,1355159545,Autorretención Renta,1.86031E8,1.539838708E7,3773387.08,1.97656E8
04,N,135517,Impuesto a las ventas retenido,0.0,1.246193173E7,0.0,1.246193173E7
04,S,13551701,Impuesto a las ventas retenido 15%,0.0,1.246193173E7,0.0,1.246193173E7
04,N,135518,Impuesto de industria y comercio retenido,0.0,1.614673546E7,3124771.36,1.30219641E7
04,S,13551805,Rete Ica 9 66,0.0,1.574622033E7,0.0,1.574622033E7
04,S,13551806,Devolución Rete Ica 9 66,0.0,0.0,3124771.36,-3124771.36
04,S,13551837,Rete Ica 3.7,0.0,400515.13,0.0,400515.13
04,N,135520,Sobrantes en liquidación privada de impuestos,7.191E7,0.0,0.0,7.191E7
04,S,13552001,Saldo A Favor Renta Anual,3.3183E7,0.0,0.0,3.3183E7
04,S,13552002,Saldo A Favor Retencion En la fuente,3.8727E7,0.0,0.0,3.8727E7
04,N,135540,Descuentos Tributarios,1.12315E8,0.0,0.0,1.12315E8
04,S,13554001,Descuento De Ica,1.12315E8,0.0,0.0,1.12315E8
04,N,1360,Reclamaciones,8548083.0,646250.0,0.0,9194333.0
04,N,136005,A Compañias Aseguradoras,8548083.0,646250.0,0.0,9194333.0
04,S,13600501,A Compañias Aseguradoras,8548083.0,646250.0,0.0,9194333.0
04,N,1380,Deudores varios,3.421696428E8,1.776745121E7,0.0,3.5993709401E8
04,N,138020,Cuentas por cobrar a terceros,3.421696428E8,1.776745121E7,0.0,3.5993709401E8
04,S,13802001,Cuentas por cobrar a terceros,2.858994468E8,1.776745121E7,0.0,3.0366689801E8
04,S,13802005,Cuentas por Cobrar UTNuvuS3,5.6270196E7,0.0,0.0,5.6270196E7
04,N,15,Propiedad planta y equipo,2.496243052E7,0.0,1636952.0,2.332547852E7
04,N,1520,Maquinaria Y Equipo,3364000.0,0.0,0.0,3364000.0
04,N,152005,Maquinaria y Equipo,3364000.0,0.0,0.0,3364000.0
04,S,15200501,Maquinaria y Equipo,3364000.0,0.0,0.0,3364000.0
04,N,1524,Equipo de oficina,3.0453702E7,0.0,0.0,3.0453702E7
04,N,152405,Muebles y enseres,3.0453702E7,0.0,0.0,3.0453702E7
04,S,15240501,Muebles y enseres,3.0453702E7,0.0,0.0,3.0453702E7
04,N,1525,Adecuaciones y Cableado,1.6183190591E8,0.0,0.0,1.6183190591E8
04,N,152505,Adecuaciones y Cableado,1.6183190591E8,0.0,0.0,1.6183190591E8
04,S,15250501,Adecuaciones y Cableado,1.6183190591E8,0.0,0.0,1.6183190591E8
04,N,1528,Equipo de computación y comunicación,1.06449895E8,0.0,0.0,1.06449895E8
04,N,152805,Equipos de procesamiento de datos,1.06449895E8,0.0,0.0,1.06449895E8
04,S,15280501,Equipos de procesamiento de datos,1.06449895E8,0.0,0.0,1.06449895E8
04,N,1592,Depreciación acumulada,-2.7713707239E8,0.0,1636952.0,-2.7877402439E8
04,N,159210,Maquinaria y Equipo,-3103767.32,0.0,28033.0,-3131800.32
04,S,15921001,Maquinaria y Equipo,-3103767.32,0.0,28033.0,-3131800.32
04,N,159215,Equipo de oficina,-2.639432784E7,0.0,253780.0,-2.664810784E7
04,S,15921501,Equipo de oficina,-2.639432784E7,0.0,253780.0,-2.664810784E7
04,N,159220,Equipo de computación y comunicación,-8.580707229E7,0.0,1355139.0,-8.716221129E7
04,S,15922001,Equipo de computación y comunicación,-8.580707229E7,0.0,1355139.0,-8.716221129E7
04,N,159295,Adecuaciones y Cableado,-1.6183190494E8,0.0,0.0,-1.6183190494E8
04,S,15929501,Adecuaciones y Cableado,-1.6183190494E8,0.0,0.0,-1.6183190494E8
04,N,16,Intangibles,1.102410078133E10,3.42692529E8,8.6288707E7,1.128050460333E10
04,N,1605,Intangibles Ut,5.55E7,0.0,0.0,5.55E7
04,N,160510,Intangibles Ut,5.55E7,0.0,0.0,5.55E7
04,S,16051030,Plataforma En Desarrollo,5.55E7,0.0,0.0,5.55E7
04,N,1610,Intangibles Hightech,1.3211255749E10,3.42692529E8,0.0,1.3553948278E10
04,N,161010,Software,1.045137408E10,0.0,0.0,1.045137408E10
04,S,16101005,Mis Pesos,3.912085287E9,0.0,0.0,3.912085287E9
04,S,16101006,Smartcash,1.490682607E9,0.0,0.0,1.490682607E9
04,S,16101007,Quipucloud,1.404753595E9,0.0,0.0,1.404753595E9
04,S,16101008,Houndoc Core,1.303122448E9,0.0,0.0,1.303122448E9
04,S,16101009,Houndoc Medical,1.56E8,0.0,0.0,1.56E8
04,S,16101010,Houndoc Signapp,1.72580964E8,0.0,0.0,1.72580964E8
04,S,16101011,Houndoc Snaptask,1.184488556E9,0.0,0.0,1.184488556E9
04,S,16101013,Xcrime,8.27660623E8,0.0,0.0,8.27660623E8
04,N,161015,Software Adquirido,1.475E7,0.0,0.0,1.475E7
04,S,16101501,Osmo Autenticador,750000.0,0.0,0.0,750000.0
04,S,16101502,Retool,500000.0,0.0,0.0,500000.0
04,S,16101503,Sinco,6000000.0,0.0,0.0,6000000.0
04,S,16101504,Osmocore,2000000.0,0.0,0.0,2000000.0
04,S,16101505,Activos Fijos,3000000.0,0.0,0.0,3000000.0
04,S,16101506,Criptus,500000.0,0.0,0.0,500000.0
04,S,16101507,Compras Web,1000000.0,0.0,0.0,1000000.0
04,S,16101508,Datasuite,1000000.0,0.0,0.0,1000000.0
04,N,161090,Plataforma En Desarrollo,0.0,3.42692529E8,0.0,3.42692529E8
04,S,16109032,Inversión 2023,0.0,3.42692529E8,0.0,3.42692529E8
04,N,161091,Software En Desarrollo,2.745131669E9,0.0,0.0,2.745131669E9
04,S,16109105,Smartcash Microservices,2.06921403E8,0.0,0.0,2.06921403E8
04,S,16109107,Sophie,8.50937191E8,0.0,0.0,8.50937191E8
04,S,16109108,Uxer,9.70583093E8,0.0,0.0,9.70583093E8
04,S,16109111,AlterU e-learning,2.20481113E8,0.0,0.0,2.20481113E8
04,S,16109112,Witty landing page,3.8171263E7,0.0,0.0,3.8171263E7
04,S,16109113,Nuvu Cost Master Suite,3.8371808E8,0.0,0.0,3.8371808E8
04,S,16109114,Nuvu DevOps Accelerator,7.4319526E7,0.0,0.0,7.4319526E7
04,N,1698,Depreciacion y/o Amortización,-2.24265496767E9,0.0,8.6288707E7,-2.32894367467E9
04,N,169810,Software,-2.21747787E9,0.0,8.616579E7,-2.30364366E9
04,S,16981001,Software,-2.21747787E9,0.0,8.616579E7,-2.30364366E9
04,N,169840,Software Adquirido,-2.517709767E7,0.0,122917.0,-2.530001467E7
04,S,16984001,Software Adquirido,-1.315209867E7,0.0,122917.0,-1.327501567E7
04,S,16984020,Licencias Ut Acttiva,-1.2024999E7,0.0,0.0,-1.2024999E7
04,N,17,Otros activos no financieros,1.2922827139E8,0.0,4867870.0,1.2436040139E8
04,N,1705,Gastos pagados por anticipado,1.2500591939E8,0.0,4867870.0,1.2013804939E8
04,N,170501,gastos pagados por anticipado,1.2500591939E8,0.0,4867870.0,1.2013804939E8
04,S,17050101,Gastos pagados por anticipado Corto Plazo,5.788029439E7,0.0,4867870.0,5.301242439E7
04,S,17050102,Gastos pagados por anticipado largo plazo,6.7125625E7,0.0,0.0,6.7125625E7
04,N,1710,Cargos Diferidos,4222352.0,0.0,0.0,4222352.0
04,N,171010,Impuesto Diferido,4222352.0,0.0,0.0,4222352.0
04,S,17101099,Niif-Impuesto Diferido,4222352.0,0.0,0.0,4222352.0
04,N,21,Pasivos financieros,-2.95287703384E9,1.8420644876E8,4.791618419E7,-2.81658676927E9
04,N,2105,Bancos nacionales,-2.95287703384E9,1.8420644876E8,4.791618419E7,-2.81658676927E9
04,N,210510,Pagares,-2.888541666E9,1.24652778E8,0.0,-2.763888888E9
04,S,21051002,Prestamos Bancarios Largo Plazo,-1.545486109E9,0.0,0.0,-1.545486109E9
04,S,21051003,Prestamos Bancarios a Corto Plazo,-1.343055557E9,1.24652778E8,0.0,-1.218402779E9
04,N,210515,Tarjetas De Credito,-6.433536784E7,5.955367076E7,4.791618419E7,-5.269788127E7
04,N,21051501,Tarjetas De Credito,-6.433536784E7,5.955367076E7,4.791618419E7,-5.269788127E7
04,S,2105150101,Tarjeta BBVA 7614,-1.289511443E7,4000000.0,3833740.98,-1.272885541E7
04,S,2105150102,Tarjeta BBVA 6184,-5683480.05,1539276.97,203103.0,-4347306.08
04,S,2105150103,Tarjeta BBVA 9252,-642374.82,119393.66,133682.84,-656664.0
04,S,2105150104,Tarjeta BBVA 2968,-476760.22,86407.86,0.0,-390352.36
04,S,2105150106,Tribal,-6500139.66,2.1594076E7,7938556.13,7155380.21
04,S,2105150107,Clara,-3.813749866E7,3.221451627E7,3.580710124E7,-4.173008363E7
04,N,22,Proveedores,-1.87374986482E9,7.38007868E8,1.28592191369E9,-2.42166391051E9
04,N,2205,Proveedores nacionales,-1.87374986482E9,7.38007868E8,1.28592191369E9,-2.42166391051E9
04,N,220505,Proveedores nacionales,-1.87374986482E9,7.38007868E8,1.28592191369E9,-2.42166391051E9
04,S,22050501,Proveedores nacionales,-1.85772849482E9,7.38007868E8,1.28592191369E9,-2.40564254051E9
04,S,22050502,Proveedores Ut Acttiva,-1.602137E7,0.0,0.0,-1.602137E7
04,N,23,Acreedores comerciales y otras cuentas por pagar,-1.81807136899E9,4.8241607931E8,6.035111045E8,-1.93916639418E9
04,N,2335,Costos y gastos por pagar,-1.04068808599E9,2.8180992187E8,3.0740119446E8,-1.06627935858E9
04,N,233510,Gastos Legales,0.0,21600.0,21600.0,0.0
04,S,23351005,Gastos Legales,0.0,21600.0,21600.0,0.0
04,N,233525,Honorarios,-3.1163207E7,9359606.0,2.703049187E7,-4.883409287E7
04,S,23352505,Honorarios,-3.1163207E7,9359606.0,2.703049187E7,-4.883409287E7
04,N,233530,Servicios Tecnicos,-5310016.65,1618735.44,1669320.92,-5360602.13
04,S,23353005,Servicios Tecnicos,-5310016.65,1618735.44,1669320.92,-5360602.13
04,N,233535,Servicios De Mantenimiento,0.0,70000.0,70000.0,0.0
04,S,23353505,Servicios De Mantenimiento,0.0,70000.0,70000.0,0.0
04,N,233540,Arrendamiento,-1137488.95,1137489.0,1.828432785E7,-1.82843278E7
04,S,23354005,Arrendamiento,-1137488.95,1137489.0,1.828432785E7,-1.82843278E7
04,N,233545,Transporte Fletes y Acarreos,-2793200.0,1389500.0,1702450.0,-3106150.0
04,S,23354505,Transporte Fletes y Acarreos,-2793200.0,1389500.0,1702450.0,-3106150.0
04,N,233550,Servicios Publicos,0.0,1290769.44,1600330.98,-309561.54
04,S,23355005,Servicios Publicos,0.0,1290769.44,1600330.98,-309561.54
04,N,233555,Seguros,0.0,3119341.77,3119341.77,0.0
04,S,23355505,Seguros,0.0,3119341.77,3119341.77,0.0
04,N,233560,Gastos De Viaje,0.0,3767352.96,4280892.96,-513540.0
04,S,23356005,Gastos De Viaje,0.0,3767352.96,4280892.96,-513540.0
04,N,233565,Gastos Financieros,0.0,1.8098647893E8,1.8098647893E8,0.0
04,S,23356505,Gastos Financieros,0.0,1.8098647893E8,1.8098647893E8,0.0
04,N,233570,Plataformas / herramientas,0.0,1.710317514E7,1.578384931E7,1319325.83
04,S,23357001,Plataformas / herramientas,0.0,1.710317514E7,1.578384931E7,1319325.83
04,N,233580,Cuentas Por Pagar A Consorciados,-2.616398E8,0.0,0.0,-2.616398E8
04,S,23358005,Cuentas Por Pagar A Consorciados,-2.616398E8,0.0,0.0,-2.616398E8
04,N,233595,Otros,-7.3864437339E8,6.194587319E7,5.285210987E7,-7.2955061007E8
04,S,23359501,Descuentos AFC,-750000.0,750000.0,4250000.0,-4250000.0
04,S,23359503,Descuentos De Libranzas,0.0,0.0,4446592.0,-4446592.0
04,S,23359504,Fondo De Empleados,-2.3819926E7,1.2049682E7,9407268.0,-2.1177512E7
04,S,23359505,Otros,-1.802039139E7,4.914619119E7,3.474824987E7,-3622450.07
04,S,23359510,Acreedores Varios,-7.0E8,0.0,0.0,-7.0E8
04,S,23359520,Costo Amortizado,3945944.0,0.0,0.0,3945944.0
04,N,2365,Retenciones en la fuente,-6.26203E8,1.0531745744E8,2.0308745744E8,-7.23973E8
04,N,236505,Salarios y pagos laborales,0.0,2.1623E7,2.1623E7,0.0
04,S,23650501,Salarios y pagos laborales,0.0,2.1623E7,2.1623E7,0.0
04,N,236515,Honorarios,0.0,2.415590826E7,2.415590826E7,0.0
04,S,23651501,Honorarios 11%,0.0,2.415590826E7,2.415590826E7,0.0
04,N,236520,Honorarios 10%,0.0,317280.0,317280.0,0.0
04,S,23652001,Honorarios 10%,0.0,317280.0,317280.0,0.0
04,N,236525,Servicios,0.0,3.890327965E7,3.890327965E7,0.0
04,S,23652503,Servicios 4%,0.0,58555.2,58555.2,0.0
04,S,23652507,Servicios 2%,0.0,9224.0,9224.0,0.0
04,S,23652509,Servicios 3.5%,0.0,3.883550045E7,3.883550045E7,0.0
04,N,236530,Arrendamientos,0.0,608195.37,608195.37,0.0
04,S,23653001,Arrendamientos 3.5%,0.0,224312.73,224312.73,0.0
04,S,23653003,Arrendamiento 4%,0.0,383882.64,383882.64,0.0
04,N,236535,Rendimientos financieros,0.0,538020.0,538020.0,0.0
04,S,23653502,Rendimientos financieros 7 %,0.0,538020.0,538020.0,0.0
04,N,236575,Autorretenciones,0.0,1.917177416E7,1.917177416E7,0.0
04,S,23657501,Autorretenciones,0.0,1.917177416E7,1.917177416E7,0.0
04,N,236590,Retención en la Fuente por pagar,-6.26203E8,0.0,9.777E7,-7.23973E8
04,S,23659005,Retención en la Fuente por pagar,-6.26203E8,0.0,9.777E7,-7.23973E8
04,N,2368,Impuesto de industria y comercio retenido,-7751000.0,0.0,495652.6,-8246652.6
04,N,236805,Retención industria y comercio Ica,0.0,0.0,495652.6,-495652.6
04,S,23680505,Reteica 9 66,0.0,0.0,168759.05,-168759.05
04,S,23680528,Reteica 8.66,0.0,0.0,320683.55,-320683.55
04,S,23680536,Retención de industria y comercio 13.8,0.0,0.0,6210.0,-6210.0
04,N,236890,Impuesto de industria y comercio retenido por paga,-7751000.0,0.0,0.0,-7751000.0
04,S,23689005,Impuesto de industria y comercio retenido por pagar,-7751000.0,0.0,0.0,-7751000.0
04,N,2370,Aportes a empresas promotoras de salud eps,-9.52887E7,9.52887E7,9.25268E7,-9.25268E7
04,N,237005,Aportes a entidades promotoras de salud eps,-2.19808E7,2.19808E7,2.19735E7,-2.19735E7
04,S,23700501,Aportes a entidades promotoras de salud eps,-2.19808E7,2.19808E7,2.19735E7,-2.19735E7
04,N,237006,Aporte a administradoras de riesgos profesionales,-1508400.0,1508400.0,1489400.0,-1489400.0
04,S,23700601,Aporte a administradoras de riesgos profesionales  ARL,-1508400.0,1508400.0,1489400.0,-1489400.0
04,N,237010,Aportes al icbf Sena y cajas de compensación,-2.23701E7,2.23701E7,1.77938E7,-1.77938E7
04,S,23701001,Aportes al icbf Sena y cajas de compensación,-2.23701E7,2.23701E7,1.77938E7,-1.77938E7
04,N,237045,Fondos,-4.94294E7,4.94294E7,5.12701E7,-5.12701E7
04,S,23704501,Fondos,-4.94294E7,4.94294E7,5.12701E7,-5.12701E7
04,N,2380,Acreedores varios,-4.8140583E7,0.0,0.0,-4.8140583E7
04,N,238095,Otros,-4.8140583E7,0.0,0.0,-4.8140583E7
04,S,23809515,Cuentas por cobrar UT Acttiva,-4.8140583E7,0.0,0.0,-4.8140583E7
04,N,24,Pasivos por impuestos,-2.018750406E9,6.423954104E7,1.1915264756E8,-2.07366351252E9
04,N,2404,De renta y complementarios corriente,-1.482022406E9,0.0,0.0,-1.482022406E9
04,N,240405,Vigencia fiscal corriente,-1.482022406E9,0.0,0.0,-1.482022406E9
04,S,24040501,Vigencia fiscal corriente,-1.482022406E9,0.0,0.0,-1.482022406E9
04,N,2408,Impuesto sobre las ventas por pagar,-5.26516E8,6.423954104E7,1.0511541156E8,-5.6739187052E8
04,N,240806,Iva generado,0.0,491106.86,1.0031541156E8,-9.98243047E7
04,S,24080601,Iva generado,0.0,491106.86,1.0031541156E8,-9.98243047E7
04,N,240810,Iva descontable por compras,0.0,4.700367434E7,0.0,4.700367434E7
04,S,24081001,Iva descontable por compras 19%,0.0,4.700367434E7,0.0,4.700367434E7
04,N,240820,Descontable por devoluciones,0.0,1.674475984E7,0.0,1.674475984E7
04,S,24082001,Descontable por devoluciones 19%,0.0,1.674475984E7,0.0,1.674475984E7
04,N,240898,Provisión de Iva,0.0,0.0,4800000.0,-4800000.0
04,S,24089805,Provisión de Iva,0.0,0.0,4800000.0,-4800000.0
04,N,240899,Impuesto sobre las ventas por pagar,-5.26516E8,0.0,0.0,-5.26516E8
04,S,24089901,Impuesto sobre las ventas por pagar,-5.26516E8,0.0,0.0,-5.26516E8
04,N,2412,De industria y comercio,-1.0212E7,0.0,1.4037236E7,-2.4249236E7
04,N,241205,De industria y comercio,-1.0212E7,0.0,1.4037236E7,-2.4249236E7
04,S,24120505,De industria y comercio,-1.0212E7,0.0,0.0,-1.0212E7
04,S,24120510,Provisión de industria y comercio,0.0,0.0,1.4037236E7,-1.4037236E7
04,N,25,Beneficios a empleados,-3.04829279E8,3.45669285E8,3.88551216E8,-3.4771121E8
04,N,2505,Salarios por pagar,0.0,3.02064276E8,3.08527714E8,-6463438.0
04,N,250505,Salarios por pagar,0.0,3.02064276E8,3.08527714E8,-6463438.0
04,S,25050501,Salarios por pagar,0.0,3.02064276E8,3.08527714E8,-6463438.0
04,N,2510,Cesantias Consolidadas,-1.13691235E8,5729525.0,1.9154014E7,-1.27115724E8
04,N,251010,Pasivo estimado para obligaciones laborales,-1.13691235E8,5729525.0,1.9154014E7,-1.27115724E8
04,N,25101001,Cesantías,-1.13691235E8,5729525.0,1.9154014E7,-1.27115724E8
04,S,2510100101,Cesantías,-2.06931883E8,5729525.0,1.9154014E7,-2.20356372E8
04,S,2510100102,Cesantías pagadas al fondo,9.3240648E7,0.0,0.0,9.3240648E7
04,N,2515,Intereses de Cesantías,-1.1429995E7,1.1504316E7,190176.0,-115855.0
04,N,251510,Intereses de Cesantías,-1.1429995E7,1.1504316E7,190176.0,-115855.0
04,S,25151001,Intereses de Cesantías,-1.1429995E7,1.1504316E7,190176.0,-115855.0
04,N,2520,Prima de servicio,0.0,301736.0,1.9064659E7,-1.8762923E7
04,N,252010,Prima de servicio,0.0,301736.0,1.9064659E7,-1.8762923E7
04,S,25201001,Prima de servicio,0.0,301736.0,1.9064659E7,-1.8762923E7
04,N,2525,Vacaciones,-1.79708049E8,2.6069432E7,4.1614653E7,-1.9525327E8
04,N,252510,Vacaciones,-1.79708049E8,2.6069432E7,4.1614653E7,-1.9525327E8
04,S,25251001,Vacaciones,-1.79708049E8,2.6069432E7,4.1614653E7,-1.9525327E8
04,N,27,Impuesto Diferido,-2.29E8,0.0,0.0,-2.29E8
04,N,2705,Ingresos Recibidos Por Anticipado,-2.29E8,0.0,0.0,-2.29E8
04,N,270525,Servicios Técnicos,-2.29E8,0.0,0.0,-2.29E8
04,S,27052501,Servicios Técnicos,-2.29E8,0.0,0.0,-2.29E8
04,N,28,Pasivos no financieros,-2.2047767E9,2.802657E7,0.18,-2.17675013018E9
04,N,2805,Otros Pasivos,-2.2047767E9,2.802657E7,0.18,-2.17675013018E9
04,N,280505,De clientes,-2.2047767E9,2.802657E7,0.18,-2.17675013018E9
04,S,28050501,De clientes,-2.2047767E9,2.802657E7,0.18,-2.17675013018E9
04,N,31,Capital social,-8.248736E9,0.0,0.0,-8.248736E9
04,N,3105,Capital suscrito y pagado,-8.248736E9,0.0,0.0,-8.248736E9
04,N,310505,Capital suscrito y pagado,-1.1548E10,0.0,0.0,-1.1548E10
04,S,31050501,Capital autorizado,-1.1548E10,0.0,0.0,-1.1548E10
04,N,310510,Capital por suscribir (db),3.299264E9,0.0,0.0,3.299264E9
04,S,31051001,Capital por suscribir (db),3.299264E9,0.0,0.0,3.299264E9
04,N,32,Superávit de capital,-5.25264E8,0.0,0.0,-5.25264E8
04,N,3205,Prima en colocación de acciones cuotas o partes d,-5.25264E8,0.0,0.0,-5.25264E8
04,N,320505,Prima en colocación de acciones,-5.25264E8,0.0,0.0,-5.25264E8
04,S,32050501,Prima en colocación de acciones,-5.25264E8,0.0,0.0,-5.25264E8
04,N,33,Reservas,-3.12433684E9,0.0,0.0,-3.12433684E9
04,N,3305,Reservas obligatorias,-3.25199005E8,0.0,0.0,-3.25199005E8
04,N,330505,Reservas obligatorias,-3.25199005E8,0.0,0.0,-3.25199005E8
04,S,33050501,Reserva legal,-3.25199005E8,0.0,0.0,-3.25199005E8
04,N,3310,Reservas Estatutarias,-2.799137835E9,0.0,0.0,-2.799137835E9
04,N,331015,Para futuros Ensanches,-2.799137835E9,0.0,0.0,-2.799137835E9
04,S,33101501,Para futuros ensanches,-2.799137835E9,0.0,0.0,-2.799137835E9
04,N,34,Revalorizacion Del Patrimonio,-9.29E8,0.0,0.0,-9.29E8
04,N,3405,Revalorizacion Del Patrimonio,-9.29E8,0.0,0.0,-9.29E8
04,N,340525,Revalorizacion Del Patrimonio,-9.29E8,0.0,0.0,-9.29E8
04,S,34052501,Revalorizacion Del Patrimonio,-9.29E8,0.0,0.0,-9.29E8
04,N,36,Resultado del ejercicio,-4.3,0.0,0.0,-4.3
04,N,3605,Utilidad del ejercicio,-4.3,0.0,0.0,-4.3
04,S,360505,Utilidad del ejercicio,-4.3,0.0,0.0,-4.3
04,N,37,Resultados de ejercicios anteriores,-1.5704201097E9,0.0,0.0,-1.5704201097E9
04,N,3705,Resultados de ejercicios anteriores,-1.5704201097E9,0.0,0.0,-1.5704201097E9
04,N,370505,Resultados de ejercicios anteriores,-1.5704201097E9,0.0,0.0,-1.5704201097E9
04,S,37050504,Resultado de ejercicios anteriores 2022,-1.5704201097E9,0.0,0.0,-1.5704201097E9
04,N,41,Ingresos de actividades ordinarias,0.0,8.4404233538E8,2.28688445416E9,-1.44284211878E9
04,N,4155,Actividades inmobiliarias  empresariales y de alqu,0.0,2.1691946504E8,2.10181039896E9,-1.88489093392E9
